impl,workload,pf_scatter,pf_probe,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
seq,uniform,12,8,128,10000000,20000000,0,17.061,70.256,33.858,168.533,337.719,627.428,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,1,16.960,71.168,33.867,166.672,335.503,624.169,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,2,16.968,70.170,33.831,166.633,336.039,623.640,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,3,16.919,71.260,34.080,167.197,335.359,624.814,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,4,16.961,70.168,33.820,168.485,336.049,625.484,40006682,9024839626095127350,17897240367829630669
