impl,workload,pf_scatter,pf_probe,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
seq,uniform,12,8,128,10000000,20000000,0,16.965,70.428,34.068,165.871,337.249,624.582,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,1,17.307,70.236,33.818,169.338,336.050,626.749,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,2,17.256,70.168,33.934,166.814,336.498,624.671,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,3,16.987,70.151,33.935,170.179,335.220,626.471,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,4,17.665,70.064,33.778,166.441,335.755,623.703,40006682,9024839626095127350,17897240367829630669
