label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
default,128,6000000,48000000,1,1.060781
default,128,6000000,48000000,2,1.049720
default,128,6000000,48000000,3,1.102920
default,128,6000000,48000000,4,1.827635
default,128,6000000,48000000,5,1.033746
default,128,6000000,48000000,6,1.048593
default,128,6000000,48000000,7,1.078493
default,128,6000000,48000000,8,1.048226
default,128,6000000,48000000,9,1.008391
default,128,6000000,48000000,10,1.100255
dyn_linear,128,6000000,48000000,1,1.135906
dyn_linear,128,6000000,48000000,2,1.143997
dyn_linear,128,6000000,48000000,3,1.790607
dyn_linear,128,6000000,48000000,4,1.810994
dyn_linear,128,6000000,48000000,5,1.054525
dyn_linear,128,6000000,48000000,6,1.085050
dyn_linear,128,6000000,48000000,7,1.014684
dyn_linear,128,6000000,48000000,8,1.051189
dyn_linear,128,6000000,48000000,9,1.068132
dyn_linear,128,6000000,48000000,10,1.626045
dyn_pairwise,128,6000000,48000000,1,1.342326
dyn_pairwise,128,6000000,48000000,2,1.420145
dyn_pairwise,128,6000000,48000000,3,0.976929
dyn_pairwise,128,6000000,48000000,4,1.180283
dyn_pairwise,128,6000000,48000000,5,0.796412
dyn_pairwise,128,6000000,48000000,6,1.733176
dyn_pairwise,128,6000000,48000000,7,1.161794
dyn_pairwise,128,6000000,48000000,8,1.365371
dyn_pairwise,128,6000000,48000000,9,1.371967
dyn_pairwise,128,6000000,48000000,10,1.162662
default,256,6000000,48000000,1,2.508913
default,256,6000000,48000000,2,2.442722
default,256,6000000,48000000,3,1.734287
default,256,6000000,48000000,4,3.457285
default,256,6000000,48000000,5,3.556850
default,256,6000000,48000000,6,1.894713
default,256,6000000,48000000,7,3.019475
default,256,6000000,48000000,8,3.559462
default,256,6000000,48000000,9,3.390832
default,256,6000000,48000000,10,2.868013
dyn_linear,256,6000000,48000000,1,1.929614
dyn_linear,256,6000000,48000000,2,1.811182
dyn_linear,256,6000000,48000000,3,2.260387
dyn_linear,256,6000000,48000000,4,1.741447
dyn_linear,256,6000000,48000000,5,2.516950
