threads,total_ms,serial_ms,serial_frac
1,767.4174,0.00482,0.000006
2,502.1320,0.00940,0.000019
4,268.1284,0.01384,0.000052
8,141.4017,0.05555,0.000393
12,99.2200,0.05724,0.000577
16,77.6824,0.07247,0.000933
20,79.8028,0.07566,0.000948
24,70.0686,0.08238,0.001176
32,61.5797,0.67312,0.010931
