threads,nr,ns,time_sec
1,1000000,2000000,0.078477
2,2000000,4000000,0.106346
4,4000000,8000000,0.112177
8,8000000,16000000,0.130573
10,10000000,20000000,0.144893
14,14000000,28000000,0.154868
20,20000000,40000000,0.206091
24,24000000,48000000,0.209378
32,32000000,64000000,0.237808
