threads,nr,ns,time_sec
1,5000000,10000000,0.376234
2,10000000,20000000,0.539377
4,20000000,40000000,0.612600
8,40000000,80000000,0.696436
10,50000000,100000000,0.695371
14,70000000,140000000,0.849172
20,100000000,200000000,0.972294
24,120000000,240000000,0.948866
32,160000000,320000000,1.284021
