impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
loop,skewed,0.9,4,10000000,20000000,128,16,1,0.102368,0.004006000,0.006173000,0.006090000,0.012896000,0.072285000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,2,0.103174,0.003943000,0.006253000,0.006122000,0.012937000,0.072954000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,3,0.104659,0.004004000,0.006226000,0.006062000,0.013120000,0.074279000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,1,0.108821,0.003848000,0.007637000,0.005998000,0.015830000,0.074307000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,2,0.108996,0.003857000,0.007695000,0.006061000,0.015742000,0.074422000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,3,0.107434,0.003795000,0.007631000,0.006083000,0.015901000,0.072878000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,32,1,0.105717,0.003975000,0.006495000,0.006207000,0.013464000,0.073718000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,32,2,0.107961,0.003990000,0.006755000,0.006262000,0.013409000,0.075441000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,32,3,0.107571,0.004054000,0.006549000,0.006350000,0.013460000,0.075281000,11653426,14549371682504228917,903274091094300703
task,uniform,0.0,0,10000000,20000000,128,1,1,0.540397,0.016965000,0.050709000,0.033795000,0.130670000,0.308147000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,1,2,0.537995,0.017165000,0.050766000,0.033921000,0.127991000,0.308042000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,1,3,0.541444,0.017104000,0.050844000,0.033891000,0.130550000,0.308945000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,2,1,0.289991,0.011838000,0.027535000,0.017797000,0.069524000,0.163198000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,2,2,0.294396,0.013166000,0.027641000,0.017866000,0.069720000,0.165906000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,2,3,0.288366,0.011411000,0.027731000,0.017794000,0.067933000,0.163396000,40006682,9024839626095127350,17897240367829630669
