impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
task,uniform,0.0,0,10000000,20000000,128,4,1,0.176729,0.006467000,0.019385000,0.019999000,0.036856000,0.093880000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,2,0.179242,0.007095000,0.020450000,0.021008000,0.036537000,0.094000000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,3,0.179502,0.007246000,0.020107000,0.021048000,0.036896000,0.094054000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,1,0.126791,0.005731000,0.012324000,0.007369000,0.027910000,0.073231000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,2,0.126497,0.005886000,0.012618000,0.007603000,0.027552000,0.072613000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,3,0.127277,0.006042000,0.012507000,0.010038000,0.025453000,0.073030000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,1,0.093698,0.005729000,0.010580000,0.010144000,0.026603000,0.040362000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,2,0.091359,0.006257000,0.011120000,0.011864000,0.019804000,0.042002000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,3,0.090553,0.005743000,0.013737000,0.010520000,0.020321000,0.039942000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,1,0.094530,0.005620000,0.009530000,0.010114000,0.025330000,0.043560000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,2,0.096254,0.004855000,0.009850000,0.008307000,0.026033000,0.046889000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,3,0.096643,0.005494000,0.010024000,0.008979000,0.025722000,0.046041000,40006682,9024839626095127350,17897240367829630669
task,skewed,0.9,4,10000000,20000000,128,1,1,0.505521,0.017125000,0.044169000,0.034153000,0.088505000,0.321477000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,1,2,0.505661,0.017195000,0.044152000,0.034104000,0.088599000,0.321512000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,1,3,0.505362,0.017133000,0.044125000,0.034195000,0.088528000,0.321280000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,1,0.147093,0.005394000,0.012929000,0.011273000,0.025703000,0.091702000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,2,0.147765,0.005416000,0.012992000,0.011383000,0.025871000,0.091993000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,4,3,0.147898,0.005427000,0.012968000,0.011306000,0.025814000,0.092274000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,1,0.093512,0.003558000,0.007620000,0.005374000,0.015077000,0.061775000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,2,0.093961,0.003443000,0.007578000,0.005430000,0.015044000,0.062360000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,8,3,0.094344,0.003602000,0.007522000,0.005332000,0.015216000,0.062556000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,1,0.087505,0.003571000,0.005524000,0.006630000,0.010085000,0.061533000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,2,0.085739,0.004002000,0.005213000,0.006337000,0.010571000,0.059432000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,16,3,0.088464,0.004019000,0.004980000,0.006715000,0.010703000,0.061867000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,1,0.094736,0.004094000,0.007081000,0.006967000,0.014481000,0.061756000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,2,0.094464,0.003947000,0.007189000,0.006208000,0.015685000,0.061079000,11653426,14549371682504228917,903274091094300703
task,skewed,0.9,4,10000000,20000000,128,20,3,0.096468,0.004215000,0.007429000,0.006695000,0.015064000,0.062755000,11653426,14549371682504228917,903274091094300703
