impl,max_key,threads,rep,t_s,join_count
m3_loop,5000000,1,5,0.554632,40006682
m3_task,5000000,1,5,0.539586,40006682
m2_par,5000000,2,1,0.584485,40006682
m3_loop,5000000,2,1,0.293679,40006682
m3_task,5000000,2,1,0.289875,40006682
m2_par,5000000,2,2,0.577002,40006682
m3_loop,5000000,2,2,0.296322,40006682
m3_task,5000000,2,2,0.289121,40006682
m2_par,5000000,2,3,0.584226,40006682
m3_loop,5000000,2,3,0.294575,40006682
m3_task,5000000,2,3,0.286935,40006682
m2_par,5000000,2,4,0.580573,40006682
m3_loop,5000000,2,4,0.296254,40006682
m3_task,5000000,2,4,0.288970,40006682
m2_par,5000000,2,5,0.576488,40006682
m3_loop,5000000,2,5,0.296767,40006682
m3_task,5000000,2,5,0.289503,40006682
m2_par,5000000,4,1,0.316126,40006682
m3_loop,5000000,4,1,0.164324,40006682
m3_task,5000000,4,1,0.179914,40006682
m2_par,5000000,4,2,0.317342,40006682
m3_loop,5000000,4,2,0.163731,40006682
m3_task,5000000,4,2,0.179862,40006682
m2_par,5000000,4,3,0.317596,40006682
m3_loop,5000000,4,3,0.163981,40006682
m3_task,5000000,4,3,0.179600,40006682
m2_par,5000000,4,4,0.322594,40006682
m3_loop,5000000,4,4,0.164507,40006682
m3_task,5000000,4,4,0.177389,40006682
m2_par,5000000,4,5,0.316823,40006682
m3_loop,5000000,4,5,0.164686,40006682
m3_task,5000000,4,5,0.176334,40006682
m2_par,5000000,8,1,0.185554,40006682
m3_loop,5000000,8,1,0.111542,40006682
m3_task,5000000,8,1,0.127224,40006682
m2_par,5000000,8,2,0.185873,40006682
m3_loop,5000000,8,2,0.112130,40006682
m3_task,5000000,8,2,0.127277,40006682
m2_par,5000000,8,3,0.180019,40006682
m3_loop,5000000,8,3,0.112056,40006682
m3_task,5000000,8,3,0.127995,40006682
m2_par,5000000,8,4,0.182449,40006682
m3_loop,5000000,8,4,0.111147,40006682
m3_task,5000000,8,4,0.126625,40006682
m2_par,5000000,8,5,0.183788,40006682
m3_loop,5000000,8,5,0.111777,40006682
m3_task,5000000,8,5,0.127796,40006682
m2_par,5000000,16,1,0.122990,40006682
m3_loop,5000000,16,1,0.072079,40006682
m3_task,5000000,16,1,0.092105,40006682
m2_par,5000000,16,2,0.128442,40006682
m3_loop,5000000,16,2,0.068238,40006682
m3_task,5000000,16,2,0.094734,40006682
m2_par,5000000,16,3,0.122653,40006682
m3_loop,5000000,16,3,0.067757,40006682
m3_task,5000000,16,3,0.093212,40006682
m2_par,5000000,16,4,0.121366,40006682
m3_loop,5000000,16,4,0.068860,40006682
m3_task,5000000,16,4,0.097109,40006682
m2_par,5000000,16,5,0.123490,40006682
m3_loop,5000000,16,5,0.069071,40006682
m3_task,5000000,16,5,0.089221,40006682
m2_par,5000000,32,1,0.119586,40006682
m3_loop,5000000,32,1,0.082348,40006682
m3_task,5000000,32,1,0.092868,40006682
m2_par,5000000,32,2,0.114770,40006682
m3_loop,5000000,32,2,0.085836,40006682
m3_task,5000000,32,2,0.087754,40006682
m2_par,5000000,32,3,0.114438,40006682
m3_loop,5000000,32,3,0.089445,40006682
m3_task,5000000,32,3,0.092917,40006682
m2_par,5000000,32,4,0.118677,40006682
m3_loop,5000000,32,4,0.082065,40006682
m3_task,5000000,32,4,0.090613,40006682
m2_par,5000000,32,5,0.114348,40006682
m3_loop,5000000,32,5,0.084457,40006682
m3_task,5000000,32,5,0.090559,40006682
