impl,distinct,nR,nS,table_bytes,build_ns_per_key,probe_ns_per_key,join_count
umap,20000,40000,80000,1280000,41.437,18.829,159863
flat1,20000,40000,80000,1048576,7.312,4.945,159863
flat2,20000,40000,80000,2097152,7.443,4.681,159863
flat4,20000,40000,80000,4194304,7.591,4.648,159863
