mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,uniform,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,4,4.013,6.282,6.172,16.742,44.242,77.451,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,0,4.694,6.475,7.880,16.776,55.891,91.717,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,1,4.109,6.410,6.750,16.747,44.470,78.487,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,2,3.580,6.393,6.412,16.157,44.662,77.204,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,3,4.213,6.438,6.489,16.255,44.898,78.295,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,4,3.722,6.460,6.626,16.382,45.009,78.200,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,0,4.659,6.666,8.437,16.343,53.160,89.266,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,1,4.264,6.569,7.135,16.401,43.957,78.326,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,2,3.810,6.574,6.946,16.443,43.846,77.619,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,3,3.765,6.572,6.662,16.331,44.124,77.455,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,4,3.894,6.556,6.290,16.173,43.932,76.845,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,0,4.904,6.649,8.405,16.153,51.397,87.509,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,1,11.139,6.436,7.273,16.260,43.691,84.800,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,2,11.468,6.342,6.742,16.305,43.739,84.596,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,3,10.957,6.452,6.620,16.305,43.966,84.301,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,4,9.589,6.368,6.843,16.174,44.183,83.156,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,0,3.248,5.889,5.911,16.164,52.012,83.223,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,1,2.436,5.927,4.288,16.208,44.924,73.782,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,2,2.501,5.879,4.277,16.189,45.253,74.099,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,3,2.455,5.895,4.276,16.196,45.210,74.032,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,4,2.436,5.863,4.260,16.168,44.993,73.720,40006682,9024839626095127350,17897240367829630669
task,skew,dynamic1,lpt,8,12,8,par,16,32,128,10000000,20000000,0,4.221,8.042,7.445,16.203,62.218,98.130,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,32,128,10000000,20000000,1,3.432,8.020,6.375,16.107,60.923,94.857,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,32,128,10000000,20000000,2,3.429,8.030,6.051,16.015,61.239,94.763,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,32,128,10000000,20000000,3,3.557,8.158,6.323,16.153,62.644,96.837,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,32,128,10000000,20000000,4,3.316,8.181,6.242,16.427,59.928,94.095,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,32,128,10000000,20000000,0,3.996,5.350,6.711,10.761,61.520,88.338,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,32,128,10000000,20000000,1,3.331,6.016,5.625,10.284,60.824,86.081,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,32,128,10000000,20000000,2,3.008,5.146,5.204,10.330,60.592,84.281,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,32,128,10000000,20000000,3,3.016,5.013,5.157,10.090,61.185,84.460,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,32,128,10000000,20000000,4,2.903,5.054,4.934,10.200,60.590,83.681,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,64,32,128,10000000,20000000,0,3.960,5.439,6.393,10.534,61.396,87.723,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,64,32,128,10000000,20000000,1,3.149,5.087,5.069,10.302,91.385,114.992,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,64,32,128,10000000,20000000,2,2.930,4.992,5.011,10.240,60.694,83.867,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,64,32,128,10000000,20000000,3,3.085,4.982,5.076,10.234,87.435,110.811,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,64,32,128,10000000,20000000,4,2.953,4.971,4.981,10.153,59.962,83.021,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,0,3.835,5.425,6.343,11.064,61.625,88.292,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,1,3.064,5.208,4.748,10.427,60.751,84.199,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,2,2.865,5.120,5.127,10.351,62.737,86.201,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,3,2.915,5.164,4.931,10.348,60.009,83.367,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,128,32,128,10000000,20000000,4,2.951,5.037,5.035,10.216,92.731,115.970,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,0,3.990,5.497,6.482,11.150,62.546,89.665,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,1,3.009,5.083,5.200,10.472,60.786,84.551,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,2,5.588,7.866,5.429,10.609,91.514,121.007,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,3,2.922,5.077,4.878,10.327,61.148,84.353,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,256,32,128,10000000,20000000,4,2.898,5.044,4.886,10.350,60.096,83.275,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,0,4.322,5.558,6.436,10.790,89.394,116.501,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,1,5.454,5.173,5.366,10.378,60.699,87.070,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,2,5.151,5.137,5.056,10.123,60.857,86.324,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,3,5.231,5.232,4.991,10.226,60.776,86.457,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,512,32,128,10000000,20000000,4,5.137,5.058,4.888,10.273,61.390,86.746,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,0,4.475,6.463,11.070,10.962,61.397,94.369,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,1,11.973,8.503,10.915,10.581,61.550,103.523,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,2,12.126,7.405,10.384,10.359,60.153,100.428,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,3,11.979,9.278,10.815,10.774,60.212,103.058,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,1024,32,128,10000000,20000000,4,11.879,6.717,10.224,10.416,61.851,101.088,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,0,3.346,4.972,5.905,9.835,104.448,128.506,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,1,2.480,4.997,4.312,9.923,70.795,92.506,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,2,2.449,4.759,4.271,10.197,72.339,94.016,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,3,2.470,4.776,4.267,10.163,70.877,92.553,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,4,2.555,4.792,4.284,9.960,74.984,96.575,11653426,14549371682504228917,903274091094300703
