strategy,skew,hot,threads,P,wall_mean_ms,wall_std_ms,imbalance,sched_ms,max_part_frac,join_count
cyclic,0.00,4,16,128,33.150,0.971,1.083,0.0075,0.126,199999829
block,0.00,4,16,128,33.493,4.305,1.095,0.0077,0.126,199999829
dynamic,0.00,4,16,128,32.585,1.380,1.062,0.0014,0.126,199999829
lpt,0.00,4,16,128,33.447,4.250,1.094,0.0201,0.126,199999829
cyclic,0.90,4,16,128,95.416,0.492,3.781,0.0066,3.615,40498302754138
block,0.90,4,16,128,256.864,0.521,10.790,0.0089,3.615,40498302754138
dynamic,0.90,4,16,128,95.977,1.079,3.738,0.0014,3.615,40498302754138
lpt,0.90,4,16,128,92.824,0.688,3.659,0.0225,3.615,40498302754138
