threadlevel,provided,workload,ranks,threads,P,NR,NS,rep,hist_local_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,wall_s,join_count,checksum1,checksum2
funneled,funneled,uniform,32,4,256,50000000,100000000,0,13.005,36.854,5.052,366.769,12.539,26.178,59.495,2.997,481.609,0.497173,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,1,12.955,36.015,0.520,354.652,28.706,22.066,61.364,0.252,480.970,0.498756,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,2,13.651,35.892,0.574,382.453,13.626,22.326,59.821,0.236,480.470,0.496947,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,3,13.225,35.945,0.508,730.040,17.960,25.734,58.679,0.243,861.780,0.877434,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,4,13.259,35.914,0.535,397.359,12.142,21.011,59.261,0.246,489.961,0.508209,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,32,4,256,50000000,100000000,0,13.510,31.218,4.301,572.899,49.197,72.667,233.003,2.986,806.475,0.864366,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,1,12.375,30.840,0.524,456.145,49.317,73.642,233.098,0.198,791.495,0.847416,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,2,12.320,26.062,0.547,354.993,49.494,73.604,231.958,0.297,678.047,0.733801,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,3,12.310,28.120,0.535,427.101,49.401,73.593,232.184,0.195,737.484,0.794984,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,4,12.631,26.466,0.596,458.615,49.603,73.826,231.841,0.221,791.653,0.847592,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,64,2,256,50000000,100000000,0,12.482,32.075,6.061,221.327,10.493,20.237,59.823,2.997,363.406,0.373805,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,64,2,256,50000000,100000000,1,12.284,30.596,0.548,404.466,11.288,18.159,59.068,0.576,534.103,0.544634,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,64,2,256,50000000,100000000,2,13.510,33.729,0.624,201.421,10.583,17.703,58.363,0.251,329.440,0.341676,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,64,2,256,50000000,100000000,3,12.310,31.975,0.533,401.675,10.920,17.961,58.496,0.222,527.613,0.538897,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,64,2,256,50000000,100000000,4,12.287,32.672,0.597,202.186,10.986,17.752,57.742,0.260,328.458,0.340180,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,64,2,256,50000000,100000000,0,12.940,26.018,5.992,378.820,96.924,150.272,233.721,2.980,777.194,0.832964,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,64,2,256,50000000,100000000,1,12.294,26.003,0.620,369.007,96.928,150.027,233.164,0.261,768.097,0.822569,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,64,2,256,50000000,100000000,2,12.258,22.971,0.654,368.496,96.896,149.359,233.478,0.299,755.101,0.809793,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,64,2,256,50000000,100000000,3,12.696,24.615,0.654,367.054,96.906,149.128,234.055,0.224,754.342,0.810535,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,64,2,256,50000000,100000000,4,12.894,24.999,0.665,369.852,96.917,150.218,233.732,0.267,758.482,0.813798,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,128,1,256,50000000,100000000,0,12.320,32.360,14.336,1121.721,11.809,18.235,60.785,6.779,1275.348,1.286634,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,128,1,256,50000000,100000000,1,16.690,29.196,1.040,630.474,17.755,24.307,59.399,0.248,716.756,0.726500,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,128,1,256,50000000,100000000,2,12.317,29.257,0.834,691.861,11.403,22.086,60.887,0.556,773.016,0.781820,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,128,1,256,50000000,100000000,3,15.139,31.340,0.891,706.589,12.217,16.790,62.443,0.288,834.986,0.844280,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,128,1,256,50000000,100000000,4,14.474,32.891,0.907,667.796,12.225,23.319,60.179,0.222,750.029,0.763105,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,128,1,256,50000000,100000000,0,12.311,26.170,8.474,823.698,189.115,270.456,253.693,4.493,1495.656,1.555344,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,128,1,256,50000000,100000000,1,12.311,26.131,0.890,657.682,188.854,270.096,253.109,0.413,1357.040,1.414137,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,128,1,256,50000000,100000000,2,14.681,24.434,1.017,672.070,188.950,270.754,253.314,0.406,1370.069,1.431326,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,128,1,256,50000000,100000000,3,14.427,24.158,0.919,649.352,178.020,255.838,259.148,0.323,1314.612,1.373243,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,128,1,256,50000000,100000000,4,14.553,23.964,0.914,628.977,177.745,256.012,258.589,0.385,1298.397,1.357460,35750353,12012365979402194829,16097019224298283940
