arm,max_key,mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
C,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,3,3.477,9.647,6.830,19.613,90.706,130.274,1601783,1639011001025628553,9978953684420965244
C,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,4,3.445,9.653,6.839,19.421,90.766,130.124,1601783,1639011001025628553,9978953684420965244
C,10000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,0,3.690,10.504,7.271,21.175,91.005,133.644,3202676,4233772544542922932,4760516635881068273
C,10000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,1,3.727,10.450,7.326,21.095,90.515,133.114,3202676,4233772544542922932,4760516635881068273
C,10000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,2,3.742,10.518,7.322,21.115,89.957,132.655,3202676,4233772544542922932,4760516635881068273
C,10000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,3,3.681,10.396,7.285,21.024,89.509,131.895,3202676,4233772544542922932,4760516635881068273
C,10000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,4,3.700,10.358,7.215,20.914,89.215,131.402,3202676,4233772544542922932,4760516635881068273
C,10000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,0,3.682,10.585,7.179,20.661,89.240,131.347,3202676,4233772544542922932,4760516635881068273
C,10000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,1,4.666,10.194,8.918,20.716,88.623,133.117,3202676,4233772544542922932,4760516635881068273
C,10000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,2,5.165,10.217,10.872,20.658,88.556,135.468,3202676,4233772544542922932,4760516635881068273
C,10000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,3,4.902,10.214,10.404,20.691,88.566,134.777,3202676,4233772544542922932,4760516635881068273
C,10000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,256,4000000,8000000,4,4.873,10.223,10.183,20.687,88.899,134.866,3202676,4233772544542922932,4760516635881068273
C,20000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,0,3.819,12.365,7.504,27.817,81.150,132.655,6397093,17089138651723566179,18335925328386676859
C,20000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,1,3.818,12.407,7.516,27.792,80.393,131.926,6397093,17089138651723566179,18335925328386676859
C,20000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,2,3.807,12.286,7.486,27.772,80.285,131.637,6397093,17089138651723566179,18335925328386676859
C,20000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,3,3.798,12.287,7.496,27.935,80.431,131.947,6397093,17089138651723566179,18335925328386676859
C,20000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,4,3.841,12.316,7.516,27.646,80.282,131.601,6397093,17089138651723566179,18335925328386676859
C,20000000,task,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,0,4.490,12.451,7.571,28.015,81.294,133.821,6397093,17089138651723566179,18335925328386676859
C,20000000,task,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,1,4.696,12.457,8.923,27.982,80.677,134.735,6397093,17089138651723566179,18335925328386676859
C,20000000,task,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,2,4.442,12.364,9.055,28.006,80.641,134.509,6397093,17089138651723566179,18335925328386676859
C,20000000,task,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,3,4.526,12.439,8.918,28.109,80.607,134.598,6397093,17089138651723566179,18335925328386676859
C,20000000,task,uniform,dynamic1,lpt,8,12,8,par,0,4,512,8000000,16000000,4,4.531,12.598,8.885,28.076,80.637,134.728,6397093,17089138651723566179,18335925328386676859
C,40000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,8,1024,16000000,32000000,0,4.241,16.009,7.951,36.423,110.743,175.368,12793554,7203771158368867836,14692381564141829462
