mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,2,3.226,5.047,5.801,10.247,60.465,84.786,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,3,3.168,5.109,4.985,10.217,60.324,83.803,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,4,2.815,5.249,5.154,10.219,60.424,83.861,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,32,128,10000000,20000000,0,4.222,5.498,6.833,10.724,72.676,99.954,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,32,128,10000000,20000000,1,3.228,5.086,5.714,10.213,69.236,93.477,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,32,128,10000000,20000000,2,2.900,5.118,5.645,10.314,88.333,112.311,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,32,128,10000000,20000000,3,2.911,5.069,5.095,10.181,66.101,89.359,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,32,128,10000000,20000000,4,2.959,5.086,5.004,10.251,69.688,92.988,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,0,3.256,4.760,5.850,9.734,74.956,98.555,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,1,2.418,4.986,4.262,9.911,72.559,94.136,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,2,2.443,4.779,4.289,9.746,72.441,93.698,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,3,2.486,4.765,4.256,9.871,72.022,93.401,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,32,128,10000000,20000000,4,2.471,4.855,4.269,9.801,72.600,93.995,11653426,14549371682504228917,903274091094300703
