hash,map,NR,NS,P,max_key,hist_ms,scatter_ms,join_ms,total_ms,join_count
mod,umap,10000000,20000000,128,1000000,38.799,406.800,731.521,1177.132,199999829
mod,flat,10000000,20000000,128,1000000,38.825,407.148,714.013,1159.996,199999829
fib,umap,10000000,20000000,128,1000000,51.628,405.037,764.566,1221.242,199999829
fib,flat,10000000,20000000,128,1000000,51.884,405.072,286.318,743.284,199999829
